procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 29129156      0 406749    0    0 8022075 1655107 543168    1  1  1 98  1  0  0
 1  0      0 27571396      0 406753    0    0     0     0 1249  235  1  2 97  0  0  0
 1  0      0 26007004      0 406753    0    0     0     0 1253  264  1  2 97  0  0  0
 1  0      0 24457772      0 406754    0    0     0   140 1340  338  1  2 97  0  0  0
 1  0      0 22916200      0 406754    0    0     0     0 1351  438  1  2 97  0  0  0
 2  0      0 21349736      0 406754    0    0     0     0 1264  267  1  2 97  0  0  0
 1  0      0 19769192      0 406754    0    0     0    32 1287  274  1  2 97  0  0  0
 1  0      0 18207080      0 406754    0    0     0     0 1356  423  1  2 97  0  0  0
 1  0      0 16659304      0 406754    0    0     0     0 1331  359  1  2 97  0  0  0
 1  0      0 15093608      0 406754    0    0     0   108 1229  265  1  2 97  0  0  0
31  0      0 14338188      0 406754    0    0     0     0 15454  637 47  1 52  0  0  0
31  0      0 14338188      0 406754    0    0     0     0 44766  337 96  1  3  0  0  0
31  0      0 14338188      0 406754    0    0     0     0 49471  651 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0     0 45217  494 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0    40 45552  626 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0     4 49870  598 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0     0 50108  606 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0     0 50018  298 96  1  3  0  0  0
31  0      0 14338172      0 406754    0    0     0     0 51017  594 96  1  3  0  0  0
31  0      0 14338180      0 406754    0    0     0    20 94466  485 95  1  3  0  0  0
31  0      0 14338436      0 406753    0    0     0    12 59693  671 96  1  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
31  0      0 14338436      0 406753    0    0     0     4 81984  534 95  2  3  0  0  0
31  0      0 14338436      0 406753    0    0     0     0 78554  350 95  2  3  0  0  0
31  0      0 14338436      0 406753    0    0     0     0 54243  572 96  1  3  0  0  0
31  0      0 14338436      0 406753    0    0     0     0 63760  934 96  1  3  0  0  0
19  0      0 14338432      0 406753    0    0     0     0 53720  614 82  2 16  0  0  0
17  0      0 14338432      0 406753    0    0     0    12 32388  442 52  1 47  0  0  0
17  0      0 14338432      0 406753    0    0     0     4 31952  678 52  2 47  0  0  0
10  0      0 14338432      0 406753    0    0     0     0 17129  465 36  1 63  0  0  0
 1  0      0 13596288      0 1148711    0    0     0     0 3569  428  8  2 91  0  0  0
 1  0      0 12508800      0 2236243    0    0     0     0 1130  167  1  2 97  0  0  0
 0  3      0 11833472      0 2911694    0    0     0 213028 2162  519  1  2 97  0  0  0
 1  1      0 11499648      0 3245335    0    0     0 306184 2719  728  0  2 97  1  0  0
 2  0      0 11145856      0 3599328    0    0     0 403460 3237  704  1  2 97  1  0  0
 3  0      0 10674304      0 4070684    0    0     0 459776 3589  809  1  2 97  1  0  0
 2  0      0 10182016      0 4563011    0    0     0 477192 3593  790  1  2 97  0  0  0
 2  0      0 9719168      0 5025822    0    0     0 467148 3437  629  1  2 97  1  0  0
 1  1      0 9228416      0 5516588    0    0     0 475236 3465  658  1  2 97  1  0  0
 1  1      0 8739712      0 6005438    0    0     0 475140 3499  703  1  2 97  1  0  0
 2  0      0 8248192      0 6496857    0    0     0 475140 3505  818  1  2 97  0  0  0
 1  1      0 7705728      0 7039253    0    0     0 466948 3341  588  1  2 97  0  0  0
 1  1      0 7194496      0 7550595    0    0     0 475316 3437  667  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 6667124      0 8078231    0    0     0 475140 3537  691  1  2 97  0  0  0
 1  1      0 6164592      0 8580913    0    0     0 475144 3509  801  1  2 97  0  0  0
 1  1      0 5653872      0 9091663    0    0     0 475140 3380  628  1  2 97  0  0  0
 1  1      0 5157744      0 9587909    0    0     0 475140 3367  611  1  2 97  1  0  0
 1  1      0 4668016      0 10077579    0    0     0 475248 3341  595  1  2 96  0  0  0
 1  1      0 4175472      0 10570110    0    0     0 471200 3404  716  1  2 96  1  0  0
 2  0      0 3682160      0 11063351    0    0     0 471044 3365  628  1  2 96  0  0  0
 1  1      0 3182704      0 11562989    0    0     0 483332 3394  628  1  3 96  0  0  0
 1  1      0 2677352      0 12068358    0    0     0 466948 3364  605  1  2 96  0  0  0
 1  1      0 2185064      0 12560871    0    0     0 475252 3385  702  1  2 96  0  0  0
 1  1      0 1689192      0 13056598    0    0     0 475140 3369  706  1  2 96  1  0  0
 1  1      0 1199464      0 13546316    0    0     0 475140 3419  692  1  2 96  0  0  0
 1  2      0 713012      0 14033233    0    0     0 475140 3422  719  1  2 96  0  0  0
 1  1      0 231732      0 14514566    0    0     0 475236 3360  737  1  2 97  1  0  0
 1  1      0   1024      0 14745678    0    0     0 475260 3504 1180  1  2 97  0  0  0
 2  0      0   2560      0 14744093    0    0     0 467124 3421 1029  1  3 96  0  0  0
 1  1      0   3072      0 14743589    0    0     0 475140 3436 1049  1  3 97  0  0  0
 2  1      0   1536      0 14745153    0    0     0 475140 3783 1536  1  3 96  0  0  0
 1  1      0   1792      0 14745465    0    0     0 475140 3440 1010  0  3 97  0  0  0
 2  0      0    256      0 14746814    0    0     0 470300 3470 1001  1  3 96  0  0  0
 1  1      0    768      0 14746313    0    0     0 471400 3610  938  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
