rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27364924      0 406777    0    0 16680909 4699177 1162919    1  1  1 97  1  0  0
 1  0      0 25781564      0 406781    0    0     0     0 1281  453  1  2 97  0  0  0
 1  0      0 24247612      0 406781    0    0     0   124 1359  419  1  2 97  0  0  0
 1  0      0 22679612      0 406781    0    0     0     4 1346  558  1  2 97  0  0  0
 1  0      0 21090620      0 406781    0    0     0     0 1282  376  1  2 97  0  0  0
32  0      0 20115836      0 406781    0    0     0     0 12734  540 37  1 61  0  0  0
32  0      0 20115836      0 406781    0    0     0    36 52044  765 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0    36 55938  549 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0     0 57768 1022 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0     4 55348  608 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0     0 49209  682 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0     0 54245  510 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0     8 55258  487 99  1  0  0  0  0
32  0      0 20115840      0 406781    0    0     0    92 54819  698 99  1  0  0  0  0
19  0      0 20116092      0 406781    0    0     0     0 43092  758 88  1 11  0  0  0
16  0      0 20116092      0 406781    0    0     0     4 29849  283 49  1 50  0  0  0
 3  0      0 20116092      0 406781    0    0     0     8 17406  300 37  1 62  0  0  0
 1  0      0 19101564      0 1421466    0    0     0     0 2212  242  4  2 94  0  0  0
 1  0      0 17943932      0 2579018    0    0     0    24 1206  292  1  2 97  0  0  0
 1  1      0 16857980      0 3665028    0    0     0 69636 1461  292  1  2 97  0  0  0
 1  1      0 16119164      0 4403807    0    0     0 459780 3314  654  1  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 15854716      0 4668510    0    0     0 465920 3213  641  0  2 97  1  0  0
 3  0      0 15485564      0 5037663    0    0     0 462856 3283  710  0  2 97  1  0  0
 2  1      0 15009148      0 5514118    0    0     0 467044 3276  586  1  2 97  1  0  0
 1  1      0 14520948      0 6002587    0    0     0 467016 3381  794  1  2 97  1  0  0
 1  1      0 14054016      0 6469384    0    0     0 466948 3273  617  1  2 97  1  0  0
 2  2      0 13563008      0 6960471    0    0     0 466948 3300  670  1  2 97  0  0  0
 0  2      0 13019776      0 7503676    0    0     0 466948 3304  573  1  2 97  0  0  0
 1  2      0 12489856      0 8033560    0    0     0 467048 3289  607  1  2 97  0  0  0
 1  1      0 11966592      0 8556809    0    0     0 458756 3541  998  1  2 97  0  0  0
 1  1      0 11468672      0 9054792    0    0     0 466948 3437  769  1  2 97  0  0  0
 1  1      0 10982240      0 9541689    0    0     0 450564 3260  608  1  2 97  0  0  0
 1  1      0 10471520      0 10052319    0    0     0 466948 3321  605  1  2 97  0  0  0
 1  1      0 10000224      0 10523750    0    0     0 458872 3282  619  1  2 97  0  0  0
 2  1      0 9523040      0 11000813    0    0     0 458924 3355  819  1  2 97  0  0  0
 1  1      0 9043808      0 11480009    0    0     0 458756 3258  619  1  2 97  0  0  0
 2  1      0 8780896      0 11743139    0    0     0 458856 3350  661  1  2 97  0  0  0
 1  1      0 8780896      0 11743139    0    0     0 450564 3359  600  2  1 97  0  0  0
 2  0      0 8780896      0 11743139    0    0     0 442492 3402  743  1  2 97  0  0  0
 1  0      0 8780896      0 11743139    0    0     0 208896 2223  424  1  2 97  0  0  0
 2  0      0 8780896      0 11743139    0    0     0     0 1118  172  1  2 97  0  0  0
 1  0      0 8780896      0 11743139    0    0     0    88 1124  155  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 8780896      0 11743143    0    0     0     0 1201  261  2  1 97  0  0  0
32  0      0 8780896      0 11743143    0    0     0     0 39580  629 67  1 32  0  0  0
32  1      0 8780896      0 11743143    0    0     0 28832 76305  852 98  2  0  0  0  0
32  1      0 8780508      0 11743143    0    0     0 450560 51441 1223 99  1  0  0  0  0
33  1      0 8780264      0 11743143    0    0     0 450560 124344 1503 98  2  0  0  0  0
33  1      0 8780264      0 11743143    0    0     0 450560 36767 1242 100  0  0  0  0  0
32  1      0 8780264      0 11743143    0    0     0 450640 35493 1208 100  0  0  0  0  0
32  0      0 8780264      0 11743143    0    0     0 139260 115706  732 97  3  0  0  0  0
32  0      0 8780264      0 11743143    0    0     0   100 32661  500 100  0  0  0  0  0
32  0      0 8780264      0 11743143    0    0     0     0 85163  566 98  2  0  0  0  0
18  0      0 8780264      0 11743143    0    0     0     0 50827  356 83  1 16  0  0  0
 9  0      0 8780264      0 11743143    0    0     0     0 17289  248 51  0 49  0  0  0
 1  0      0 8352744      0 12170493    0    0     0     0 9695  508 15  2 83  0  0  0
 1  0      0 7261664      0 13262342    0    0     0   100 1298  260  1  2 97  0  0  0
 1  0      0 6341856      0 14182244    0    0     0     0 1104  147  1  2 97  0  0  0
 2  0      0 5497824      0 15026249    0    0     0 105480 1685  407  1  2 97  0  0  0
 3  0      0 4517344      0 16006302    0    0     0 464900 3544  806  1  2 97  0  0  0
 0  2      0 4116448      0 16407670    0    0     0 467976 3313  661  0  2 97  1  0  0
 2  1      0 3692768      0 16831327    0    0     0 460880 3305  632  1  2 97  1  0  0
 1  1      0 3261152      0 17262843    0    0     0 467000 3181  639  1  2 97  1  0  0
 1  1      0 2815968      0 17708182    0    0     0 466948 3266  693  1  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 2353376      0 18170698    0    0     0 466948 3226  603  0  2 97  1  0  0
 2  0      0 1886176      0 18637966    0    0     0 458756 3205  698  0  2 97  1  0  0
 1  1      0 1415136      0 19108932    0    0     0 467068 3322  678  1  2 97  1  0  0
 1  1      0 941784      0 19582526    0    0     0 458756 3296  698  1  2 97  1  0  0
 0  2      0 474328      0 20050051    0    0     0 458752 3323 1017  0  2 97  1  0  0
 1  2      0   4056      0 20520159    0    0     0 466952 3258  725  1  2 97  1  0  0
 2  1      0   1280      0 20523507    0    0     0 466948 3322 1055  0  2 97  1  0  0
 2  0      0   1024      0 20523668    0    0     0 459100 3386 1092  0  2 97  1  0  0
 1  1      0    768      0 20524190    0    0     0 475140 3330  960  0  2 97  1  0  0
 3  0      0   2048      0 20522189    0    0     0 458756 3261  961  0  2 97  1  0  0
 2  0      0   3328      0 20521706    0    0     0 466948 3313  959  1  2 97  1  0  0
 1  1      0   2572      0 20522304    0    0     0 466948 3568 1094  2  1 97  1  0  0
 2  0      0   2572      0 20522304    0    0     0 458868 3499  771  2  1 97  0  0  0
