procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 18843236      0 8848525    0    0 1027897 366997 73623    1  1  1 97  1  0  0
 1  0      0 17215900      0 8848529    0    0     0     0 1436  618  1  2 97  0  0  0
 1  0      0 15545500      0 8848529    0    0     0     0 1277  286  1  2 97  0  0  0
 1  0      0 13933724      0 8848529    0    0     0   840 1375  405  1  2 97  0  0  0
 1  0      0 12305564      0 8848529    0    0     0     0 1315  402  1  2 97  0  0  0
 1  0      0 10672796      0 8848529    0    0     0     0 1457  680  1  2 97  0  0  0
 2  0      0 9034396      0 8848529    0    0     0     0 1299  278  1  2 97  0  0  0
 1  0      0 7403164      0 8848529    0    0     0     0 1108  155  1  2 97  0  0  0
32  0      0 6280088      0 8848529    0    0     0   700 10603 1315 29  2 69  0  0  0
32  0      0 6280072      0 8848529    0    0     0     0 31826 1333 97  0  3  0  0  0
32  0      0 6280072      0 8848529    0    0     0     0 32260 1649 97  0  3  0  0  0
32  0      0 6280072      0 8848530    0    0     0     0 31663  825 97  0  3  0  0  0
10  0      0 6282960      0 8848529    0    0     0   100 22783  633 65  0 34  0  0  0
32  0      0 2079060      0 8848528    0    0     0     0 24609 1191 60 15 25  0  0  0
32  0      0 2079060      0 8848528    0    0     0   108 31415  679 97  0  3  0  0  0
32  0      0 2079060      0 8848528    0    0     0     0 31657  614 98  0  2  0  0  0
32  0      0 2079060      0 8848528    0    0     0     0 32327  331 100  0  0  0  0  0
32  0      0 2079060      0 8848528    0    0     0     0 32468  572 100  0  0  0  0  0
19  0      0 2079060      0 8848529    0    0     0    76 25643  493 77  0 23  0  0  0
32  0      0 1336496      0 8848529    0    0     0     0 16232  605 44  2 55  0  0  0
32  0      0    672      0 6724009    0    0     0    20 29542 3853 67 18 14  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  0      0    172      0 6723999    0    0     0     0 31550 1084 86  4 10  0  0  0
